Reaction_ID;Module_ID
2874;222
3199;222
2874;223
3200;223
5640;224
5639;224
7509;224
7494;224
7495;224
7498;224
5703;224
7507;224
1457;224
3353;224
4804;224
3310;224
7215;224
1451;224
1456;224
4427;225
5641;225
3610;226
1463;227
4823;227
4824;227
4825;227
4807;227
8759;227
8761;227
8733;227
2794;227
8734;227
8735;227
4812;227
4813;227
3719;227
1463;228
4818;228
4819;228
4806;228
8758;228
8760;228
8738;228
8739;228
8740;228
4810;228
3720;229
3718;229
2797;229
5835;229
1454;230
4854;230
2723;230
4855;230
3933;230
2216;230
2216;230
2213;231
3851;231
3262;231
2211;232
3326;232
2843;232
3783;233
1837;233
1837;233
1836;233
1838;233
1840;234
2352;234
2353;234
2352;234
2353;234
7236;235
7504;235
32;236
2124;236
7863;238
3402;238
3401;238
7888;238
7892;238
7896;238
7889;238
7893;238
7897;238
7890;238
7894;238
7898;238
7890;238
7894;238
7898;238
7891;238
7895;238
7899;238
2740;239
1819;239
1818;239
885;239
883;239
889;239
7675;239
640;239
643;239
481;240
3348;240
3005;240
189;240
189;240
257;240
1717;241
8166;241
4030;241
7263;241
8781;242
894;243
497;243
1214;244
1226;244
2472;244
489;244
2473;244
3018;245
4230;245
3269;245
3035;245
130;245
5578;246
4109;246
2272;246
36;246
84;246
3165;246
3197;246
3220;246
3222;246
310;246
3194;246
3947;246
2864;246
3194;246
3947;246
2864;246
2864;246
5218;247
5220;247
5225;247
7302;247
5226;247
5221;247
6558;247
4148;247
4594;247
5223;247
3210;248
3231;248
3182;248
1078;248
5085;249
5681;249
5636;249
278;249
425;250
3459;250
3458;250
66;250
549;250
161;250
428;251
5046;251
5048;251
4639;251
4620;251
3504;251
3503;251
3066;251
3067;251
2237;251
2237;251
2237;251
2237;251
939;251
3471;252
4509;252
4448;252
3223;252
617;252
1717;253
8166;253
4030;253
8771;254
8781;254
289;255
286;255
2933;255
3184;255
647;255
3361;256
3469;256
3435;256
3435;256
3433;256
3430;257
3393;257
4372;257
1187;257
3394;258
3427;258
1186;258
3429;259
3478;259
5202;259
566;260
1157;260
178;260
1920;260
670;261
1154;262
4025;262
5050;262
7414;263
7419;263
1613;264
2446;264
2445;264
2444;265
3123;265
4276;265
6534;265
3126;266
3124;267
2160;267
4305;268
5123;268
4692;268
5732;268
3832;268
4696;268
4697;268
4723;268
5124;268
3831;268
4690;268
4691;268
936;269
939;269
945;270
1224;270
7168;270
1220;270
1655;270
943;270
1218;270
1218;270
1655;270
1220;270
1655;270
943;270
2302;270
2301;270
24;294
1512;294
1063;294
1061;294
1063;294
1068;294
1829;294
762;294
1067;294
1641;294
1845;294
1056;294
1523;294
24;295
1512;295
1063;295
1061;295
1063;295
1068;296
1829;296
762;296
1067;296
1641;296
1845;296
1056;296
1523;296
345;297
342;297
216;298
206;298
345;299
355;299
341;299
345;300
355;300
342;300
214;300
258;300
206;300
345;301
343;301
216;301
206;301
1196;302
199;302
345;302
342;302
1082;302
408;302
405;302
1197;302
267;302
1900;302
1325;302
352;302
1142;303
1146;303
2479;303
602;303
602;303
605;303
604;303
519;303
134;303
3015;304
3390;304
3464;304
4456;304
4464;304
3025;304
4347;304
5185;305
529;306
530;306
8553;306
858;306
859;306
209;679
209;679
209;679
1196;679
1538;680
1541;680
1538;681
1290;719
1001;719
