Reaction_ID;Organism_ID;KM_muM;kcat_s_1
260;362;250;0.41
260;469;63;0.2
260;588;126000;0.49
260;828;260;68
260;948;240;15
260;125;200;3.9
260;8897;550;0.056
260;125;1000;1.8
260;125;770;2
260;8897;210;3.3
2735;6;360;67
2735;113;166;0.1465
589;4;14500;14.5
491;5105;159000;42.9
3073;8832;36;0.35
589;4;8000;0.028
589;4;14500;14.5
589;7;10800;1.41
589;1141;95400;5.22
1450;15800;17000;16.7
3791;85;400;500
3791;85;340;480
3791;85;810;514
3791;85;700;526
291;6;140;960
291;6;225;760
291;7;69;6
291;9;220;64.8
291;234;130;128
291;1071;500;12.9
291;2303;784;290.1
291;14;40;21
418;2303;1070;247.9
2739;9;55.5;446
1015;0;970;430
1015;127;1200;1080
1015;127;1100;1000
1015;127;7600;800
1015;1091;1300;367
1015;3875;1100;267
307;138;170000;1.67
878;138;170000;1.67
1432;1078;8000;7.7
1056;557;15000;39530
771;7;18.6;3330
771;136;500;8.4
771;555;1700;26
1530;6;350;255
1530;6;300;19
1530;6;640;242
2437;1653;11000;1717
1378;4;130;290
1378;4;150;320
1378;4;310;410
1378;4;31;38
1378;4;20;33
1378;20095;61;1.4
1518;9;220;530
1518;9;740;490
1518;9;650;384
1518;9;560;530
1518;19;830;57
1518;19;500;45
1518;25;580;82
1518;1091;270;434
1818;234;387;4.13
1818;234;200;10.01
1818;7;16;3.9
1818;7;54;4.4
1818;20208;156.9;134.9
661;1305;1.6;34
2060;6;50;7.9
2272;14;25;0.11
2272;986;46;0.47
2272;986;67;0.95
1717;6;5;1.8
262;20232;580;5.8
833;1424;96;48
1715;6;549;94140
1181;3986;57;38.2
7405;6;22.6;15.6
3959;23;130;222000
3959;29;81.3;24.7
3959;122;31;186
3959;122;1730;125
5300;23;99;108000
5300;29;48.7;3.2
5300;122;11;27.8
5300;85;6;35400
5300;122;26;214
3308;13;10.3;382
2446;18055;43;2300
2898;17;21;59.9
2898;17;10;37.4
4259;29;173;60.7
4345;186;20;63.7
2068;19314;0.23;0.00117
3665;9;0.2;0.2
405;2454;7.7;22
2404;2454;7.7;22
405;2454;1400;20
2404;2454;1400;20
405;212;22.1;201
229;136;61;203
920;136;61;203
229;136;396;182
920;136;396;182
229;136;25;157
925;230;254;79
1354;230;254;79
1917;546;66;2.8
1917;542;480;8.7
4144;0;20;2.3
256;7;1700;1.8
256;6;111000;5.1
4212;469;206.8;6.1
4212;469;0.95;1.3
3905;469;206.8;6.1
3905;588;117;0.59
